date,q.arkrocco,h.arkrocco,p.arkrocco
4/26/2001,227,2.25,NA
4/27/2001,159,2.07,NA
4/28/2001,149,2.04,NA
4/29/2001,144,2.02,NA
4/30/2001,115,1.92,NA
5/1/2001,120,1.94,NA
5/2/2001,113,1.91,NA
5/3/2001,92.3,1.81,NA
5/4/2001,89.6,1.8,NA
5/5/2001,123,1.93,NA
5/6/2001,390,2.53,NA
5/7/2001,418,2.58,NA
5/8/2001,244,2.28,NA
5/9/2001,317,2.42,NA
5/10/2001,272,2.34,NA
5/11/2001,314,2.24,NA
5/12/2001,396,2.26,NA
5/13/2001,347,2.18,NA
5/14/2001,337,2.17,NA
5/15/2001,316,2.13,NA
5/16/2001,330,2.15,NA
5/17/2001,1090,3.06,NA
5/18/2001,1400,3.38,NA
5/19/2001,1270,3.25,NA
5/20/2001,1300,3.28,NA
5/21/2001,1340,3.32,NA
5/22/2001,1140,3.12,NA
5/23/2001,746,2.71,NA
5/24/2001,3370,4.85,NA
5/25/2001,3160,4.74,NA
5/26/2001,1210,3.19,NA
5/27/2001,1440,3.42,NA
5/28/2001,1350,3.33,NA
5/29/2001,1230,3.21,NA
5/30/2001,1240,3.22,NA
5/31/2001,1570,3.37,NA
6/1/2001,1650,3.38,NA
6/2/2001,1260,3.01,NA
6/3/2001,1140,2.89,NA
6/4/2001,1210,2.96,NA
6/5/2001,1190,2.94,NA
6/6/2001,1190,2.94,NA
6/7/2001,1190,2.94,NA
6/8/2001,1190,2.94,NA
6/9/2001,1190,2.94,NA
6/10/2001,1190,2.94,NA
6/11/2001,774,2.58,NA
6/12/2001,356,2.31,NA
6/13/2001,626,2.7,NA
6/14/2001,675,2.76,NA
6/15/2001,630,2.71,NA
6/16/2001,562,2.62,NA
6/17/2001,543,2.6,NA
6/18/2001,620,2.69,NA
6/19/2001,416,2.42,NA
6/20/2001,380,2.37,NA
6/21/2001,409,2.41,NA
6/22/2001,750,2.81,NA
