Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
12/24/2000 0:00	 	99.83
12/25/2000 0:00	 	99.83
12/26/2000 0:00	 	99.83
12/27/2000 0:00	 	99.82
12/28/2000 0:00	 	99.82
12/29/2000 0:00	 	99.82
12/30/2000 0:00	 	99.82
12/31/2000 0:00	 	99.82
1/1/2001 0:00	 	99.82
1/2/2001 0:00	 	99.81
1/3/2001 0:00	 	99.81
1/4/2001 0:00	 	99.81
1/5/2001 0:00	 	99.81
1/6/2001 0:00	 	99.81
1/7/2001 0:00	 	99.8
1/8/2001 0:00	 	99.8
1/9/2001 0:00	 	99.8
1/10/2001 0:00	 	99.79
1/11/2001 0:00	 	99.79
1/12/2001 0:00	 	99.79
1/13/2001 0:00	 	99.79
1/14/2001 0:00	 	99.78
1/15/2001 0:00	 	99.78
1/16/2001 0:00	 	99.78
1/17/2001 0:00	 	99.78
1/18/2001 0:00	 	99.77
1/19/2001 0:00	 	99.77
1/20/2001 0:00	 	99.77
1/21/2001 0:00	 	99.77
1/22/2001 0:00	 	99.77
1/23/2001 0:00	 	99.77
1/24/2001 0:00	 	99.76
1/25/2001 0:00	 	99.76
1/26/2001 0:00	 	99.76
1/27/2001 0:00	 	99.76
1/28/2001 0:00	 	99.76
1/29/2001 0:00	 	99.76
1/30/2001 0:00	 	99.76
1/31/2001 0:00	 	99.75
2/1/2001 0:00	 	99.75
2/2/2001 0:00	 	99.75
2/3/2001 0:00	 	99.75
2/4/2001 0:00	 	99.75
2/5/2001 0:00	 	99.77
2/6/2001 0:00	 	99.78
2/7/2001 0:00	 	99.79
2/8/2001 0:00	 	99.8
2/9/2001 0:00	 	99.8
2/10/2001 0:00	 	99.8
2/11/2001 0:00	 	99.8
2/12/2001 0:00	 	99.79
2/13/2001 0:00	 	99.8
2/14/2001 0:00	 	99.79
2/15/2001 0:00	 	99.79
2/16/2001 0:00	 	99.79
2/17/2001 0:00	 	99.79
2/18/2001 0:00	 	99.79
2/19/2001 0:00	 	99.79
2/20/2001 0:00	 	99.79
2/21/2001 0:00	 	99.78
2/22/2001 0:00	 	99.78
